airline_name,flight_code
Vistara,706
Vistara,772
Vistara,720
Vistara,836
Vistara,822
Vistara,828
Vistara,874
Vistara,832
Vistara,826
Vistara,860
Vistara,876
Vistara,878
Vistara,838
Vistara,830
Vistara,870
Vistara,824
Vistara,774
Vistara,708
Vistara,738
Vistara,852
Vistara,776
Air India,770
Vistara,858
Vistara,808
Vistara,880
Vistara,810
Air India,440
Vistara,812
Air India,559
Air India,543
Air India,430
Vistara,816
Air India,763
Air India,402
Air India,840
Air India,538
Air India,808
Vistara,778
Vistara,866
Vistara,890
Vistara,834
Vistara,850
Air India,541
Vistara,854
Air India,804
Vistara,988
Air India,660
Air India,867
Vistara,940
Air India,888
Air India,503
Air India,539
Air India,505
Vistara,846
Vistara,994
Air India,806
Air India,809
Vistara,996
Vistara,814
Vistara,970
Air India,442
Vistara,930
Vistara,864
Vistara,928
Air India,768
Vistara,818
Vistara,958
Air India,635
Vistara,960
Air India,698
Air India,672
Air India,687
Vistara,802
Vistara,820
Vistara,995
Vistara,953
Vistara,986
Vistara,985
Vistara,927
Air India,569
Vistara,981
Vistara,963
Vistara,910
Air India,501
Vistara,950
Vistara,944
Vistara,955
Air India,640
Vistara,954
Vistara,945
Vistara,933
Vistara,977
Air India,773
Vistara,993
Air India,610
Vistara,902
Vistara,951
Vistara,943
Vistara,941
Air India,526
Air India,525
Vistara,898
Vistara,975
Air India,732
Vistara,877
Vistara,657
Air India,864
Air India,766
Air India,619
Air India,573
Air India,765
Vistara,897
Air India,774
Vistara,873
Vistara,819
Air India,636
Vistara,894
Air India,676
Air India,9894
Air India,805
Air India,441
Vistara,863
Air India,678
Air India,665
Air India,507
Air India,624
Vistara,829
Air India,424
Air India,542
Vistara,875
Vistara,851
Air India,868
Air India,429
Vistara,893
Vistara,879
Indigo,6021
Air India,762
Vistara,653
Air India,887
Indigo,605
GO FIRST,116
Air India,9517
Air India,839
GO FIRST,227
Air India,401
Air India,865
Air India,764
Indigo,6113
Air India,639
Air India,560
AirAsia,1529
GO FIRST,302
Vistara,801
Vistara,899
Indigo,841
Vistara,659
AirAsia,942
Vistara,853
Air India,671
Indigo,6205
Vistara,811
Air India,544
Vistara,871
Air India,803
